Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Île-de-France,Solaire,5443,5443,"0,77",-,-,4
Normandie,Solaire,7368,7368,"0,6",-,-,1
Nouvelle-Aquitaine,Solaire,219643,219643,"0,68",-,-,10
Occitanie,Solaire,158428,158428,"0,63",-,-,7
Pays de la Loire,Solaire,27146,27146,"0,65",-,-,4
Provence-Alpes-Côte d'Azur,Solaire,139934,139934,"0,66",-,-,9
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,108597,108597,"0,81",-,-,7
Bourgogne-Franche-Comté,Eolien onshore,161802,161802,"0,79",-,-,6
Bretagne,Eolien onshore,145053,145053,"0,75",-,-,5
Centre-Val de Loire,Eolien onshore,209226,209226,"0,75",-,-,3
Grand Est,Eolien onshore,638054,638054,"0,72",-,-,8
Haut-de-France,Eolien onshore,959103,959103,"0,72",-,-,14
Île-de-France,Eolien onshore,21569,21569,"0,76",-,-,3
Normandie,Eolien onshore,158793,158793,"0,68",-,-,4
Nouvelle-Aquitaine,Eolien onshore,191205,191205,"0,7",-,-,6
Occitanie,Eolien onshore,243666,243666,"0,72",-,-,5
Pays de la Loire,Eolien onshore,163942,163942,"0,69",-,-,5
Provence-Alpes-Côte d'Azur,Eolien onshore,13041,13041,"0,71",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,93773,93773,"0,85",-,-,10
Bourgogne-Franche-Comté,Hydraulique,9943,9943,"0,78",-,-,2
Bretagne,Hydraulique,933,933,"0,77",-,-,1
Centre-Val de Loire,Hydraulique,610,610,"0,77",-,-,1
Grand Est,Hydraulique,13693,13693,"0,8",-,-,4
Haut-de-France,Hydraulique,859,859,"0,77",-,-,1
Île-de-France,Hydraulique,677,677,"0,77",-,-,1
Normandie,Hydraulique,2524,2524,"0,77",-,-,1
Nouvelle-Aquitaine,Hydraulique,28998,28998,"0,78",-,-,3
Occitanie,Hydraulique,54197,54197,"0,78",-,-,3
Pays de la Loire,Hydraulique,845,845,"0,77",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,28186,28186,"0,78",-,-,7
Auvergne-Rhône-Alpes,Solaire,64801,64801,"0,88",-,-,6
Bourgogne-Franche-Comté,Solaire,19142,19142,"0,8",-,-,1
Bretagne,Solaire,6041,6041,"0,81",-,-,2
Centre-Val de Loire,Solaire,22189,22189,"0,82",-,-,5
Grand Est,Solaire,30183,30183,"0,83",-,-,3
Haut-de-France,Solaire,7991,7991,"0,81",-,-,2
Île-de-France,Solaire,4664,4664,"0,85",-,-,5
Normandie,Solaire,5890,5890,"0,69",-,-,2
Nouvelle-Aquitaine,Solaire,212450,212450,"0,75",-,-,10
Occitanie,Solaire,156374,156374,"0,7",-,-,9
Pays de la Loire,Solaire,22453,22453,"0,74",-,-,6
