RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
Pays de la Loire,Hydraulique,450,450,"3,65",-,-,31/12/1899
Provence-Alpes-CÃ´te d'Azur,Hydraulique,25443,25443,"3,67",-,-,2/1/1900
Auvergne-RhÃ´ne-Alpes,Solaire,113513,113513,"3,82",-,-,3/1/1900
Bourgogne-Franche-ComtÃ©,Solaire,36536,36536,"3,73",-,-,2/1/1900
Bretagne,Solaire,11670,11670,"3,72",-,-,2/1/1900
Centre-Val de Loire,Solaire,49312,49312,"3,77",-,-,1/1/1900
Grand Est,Solaire,79739,79738,"3,81",-,-,3/1/1900
Haut-de-France,Solaire,32888,32888,"3,85",-,-,1/1/1900
ÃŽle-de-France,Solaire,12015,12015,"3,71",-,-,1/1/1900
Normandie,Solaire,14980,14980,"3,76",-,-,31/12/1899
Nouvelle-Aquitaine,Solaire,339888,339888,"3,75",-,-,5/1/1900
Occitanie,Solaire,274757,274757,"3,7",-,-,7/1/1900
Pays de la Loire,Solaire,39466,39466,"3,74",-,-,4/1/1900
Provence-Alpes-CÃ´te d'Azur,Solaire,213676,213676,"3,74",-,-,5/1/1900
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,54300,54300,"5,42",-,-,1/1/1900
Bourgogne-Franche-ComtÃ©,Eolien onshore,91033,91033,"5,63",-,-,3/1/1900
Bretagne,Eolien onshore,59542,59542,"5,22",-,-,2/1/1900
Centre-Val de Loire,Eolien onshore,103590,103590,"5,25",-,-,3/1/1900
Grand Est,Eolien onshore,234888,234888,"5,34",-,-,4/1/1900
Haut-de-France,Eolien onshore,332649,332649,"5,34",-,-,4/1/1900
ÃŽle-de-France,Eolien onshore,11286,11286,"5,86",-,-,1/1/1900
Normandie,Eolien onshore,49940,49940,"5,18",-,-,1/1/1900
Nouvelle-Aquitaine,Eolien onshore,127197,127197,"5,4",-,-,3/1/1900
Occitanie,Eolien onshore,130419,130419,"5,21",-,-,2/1/1900
Pays de la Loire,Eolien onshore,94453,94453,"5,23",-,-,4/1/1900
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,4869,4869,"5,18",-,-,31/12/1899
Auvergne-RhÃ´ne-Alpes,Hydraulique,46483,46483,"5,66",-,-,2/1/1900
Bourgogne-Franche-ComtÃ©,Hydraulique,2505,2505,"5,4",-,-,31/12/1899
Bretagne,Hydraulique,687,687,"5,35",-,-,1/1/1900
Centre-Val de Loire,Hydraulique,651,651,"5,4",-,-,31/12/1899
Grand Est,Hydraulique,11487,11487,"5,4",-,-,31/12/1899
Haut-de-France,Hydraulique,328,328,"5,4",-,-,31/12/1899
ÃŽle-de-France,Hydraulique,344,344,"5,4",-,-,31/12/1899
Normandie,Hydraulique,415,415,"5,4",-,-,31/12/1899
Nouvelle-Aquitaine,Hydraulique,16407,16407,"5,37",-,-,1/1/1900
Occitanie,Hydraulique,34654,34654,"5,35",-,-,31/12/1899
Pays de la Loire,Hydraulique,79,79,"5,4",-,-,31/12/1899
Provence-Alpes-CÃ´te d'Azur,Hydraulique,13509,13509,"5,4",-,-,31/12/1899
Auvergne-RhÃ´ne-Alpes,Solaire,130146,130146,6,-,-,5/1/1900
Bourgogne-Franche-ComtÃ©,Solaire,44549,44549,"5,45",-,-,1/1/1900
Bretagne,Solaire,13650,13650,"5,25",-,-,1/1/1900
Centre-Val de Loire,Solaire,62399,62399,"5,16",-,-,31/12/1899
Grand Est,Solaire,88487,88487,"5,5",-,-,2/1/1900
Haut-de-France,Solaire,36418,36418,"5,27",-,-,1/1/1900
ÃŽle-de-France,Solaire,13199,13199,"5,35",-,-,1/1/1900
Normandie,Solaire,16818,16818,"5,25",-,-,1/1/1900
Nouvelle-Aquitaine,Solaire,408979,408979,"5,38",-,-,6/1/1900
Occitanie,Solaire,310372,310372,"5,25",-,-,6/1/1900
Pays de la Loire,Solaire,47379,47379,"5,24",-,-,2/1/1900
Provence-Alpes-CÃ´te d'Azur,Solaire,226767,226767,"5,5",-,-,4/1/1900
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,44574,44574,"8,11",-,-,4/1/1900
Bourgogne-Franche-ComtÃ©,Eolien onshore,106165,106165,"8,08",-,-,3/1/1900
Bretagne,Eolien onshore,67188,67188,"8,06",-,-,2/1/1900
Centre-Val de Loire,Eolien onshore,129446,129446,"7,95",-,-,2/1/1900
Grand Est,Eolien onshore,304741,304741,"7,84",-,-,3/1/1900
Haut-de-France,Eolien onshore,418862,418862,"7,89",-,-,5/1/1900
ÃŽle-de-France,Eolien onshore,15980,15980,"7,8",-,-,31/12/1899
Normandie,Eolien onshore,59518,59518,"7,8",-,-,5/1/1900
Nouvelle-Aquitaine,Eolien onshore,115302,115302,"7,9",-,-,31/12/1899
Occitanie,Eolien onshore,108765,108765,"7,8",-,-,2/1/1900
Pays de la Loire,Eolien onshore,93289,93289,"7,81",-,-,1/1/1900
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,7518,7518,"7,8",-,-,31/12/1899
Auvergne-RhÃ´ne-Alpes,Hydraulique,35155,35155,"7,81",-,-,3/1/1900
Bourgogne-Franche-ComtÃ©,Hydraulique,2261,2261,"7,76",-,-,1/1/1900
Bretagne,Hydraulique,1060,1060,"7,76",-,-,31/12/1899
Centre-Val de Loire,Hydraulique,328,328,"7,76",-,-,31/12/1899
Grand Est,Hydraulique,8359,8359,"7,76",-,-,1/1/1900
Haut-de-France,Hydraulique,85,85,"7,9",-,-,31/12/1899
ÃŽle-de-France,Hydraulique,74,74,"7,9",-,-,31/12/1899
Normandie,Hydraulique,207,207,"7,82",-,-,1/1/1900
Nouvelle-Aquitaine,Hydraulique,10687,10687,"7,79",-,-,2/1/1900
Occitanie,Hydraulique,23446,23446,"7,84",-,-,2/1/1900
Pays de la Loire,Hydraulique,44,44,"7,9",-,-,31/12/1899
Provence-Alpes-CÃ´te d'Azur,Hydraulique,10392,10392,"7,76",-,-,31/12/1899
Auvergne-RhÃ´ne-Alpes,Solaire,114996,114996,"8,12",-,-,3/1/1900
Bourgogne-Franche-ComtÃ©,Solaire,38586,38586,"8,05",-,-,31/12/1899
Bretagne,Solaire,12212,12212,"7,98",-,-,2/1/1900
Centre-Val de Loire,Solaire,56041,56040,"7,9",-,-,1/1/1900
Grand Est,Solaire,83445,83445,"7,9",-,-,2/1/1900
Haut-de-France,Solaire,33377,33377,"7,9",-,-,31/12/1899
